County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
COLUMBUS CITY,Rec & Phys Activity Center,"337 Annie & John Glenn Ave, 43210",Columbus,INDOOR,14156,992962
KNOX,Kenyon Athletic Ctr Pool,"221 Duff st., 43022",Gambier,INDOOR,12718,971154
CLEVELAND CITY,Cleveland State Pool 1,"1983 E. 24th St., 44114",Cleveland,INDOOR,12300,933000
WOOD,Samuel Cooper Pool,"BGSu Student Rec Center, 43403",Bowling Green,INDOOR,12375,850600
CUYAHOGA,Cumberland Pool - Pool,"1740 Cumberland Rd, 44118",Cleveland Hts.,OUTDOOR,15620,850000
COLUMBUS CITY,Olympic Swim Club Inc.,3450 Indianola Ave,Columbus,OUTDOOR,1230000,814000
COLUMBUS CITY,Olympic Swim Club Inc.,3450 Indianola Ave,Columbus,OUTDOOR,420000,814000
LICKING,Denison Competition Pool,"200 Livingston Dr., 43023",Granville,INDOOR,12625,787151
LICKING,Dension Competition Pool,200 Livingston Dr.,Granville,INDOOR,12625,787151
CINCINNATI CITY,University of Cincinnati,"2820 Bearcat Way, 45221",Cincinnati,INDOOR,12641,757692
ATHENS,OU Aquatic Center,"Oxbow Dr, 45701",Athens,INDOOR,1250,740000
COLUMBUS CITY,Greenhouse Aquatic Inc,5520 Cherrywood Rd,Columbus,INDOOR,907500,736392
YOUNGSTOWN CITY,Y.S.U. Beeghly Pool,"224 Spring St., 44555",Youngstown,INDOOR,12375,684000
MUSKINGUM,Dresden Swim Center,"1330 So. Main St., 43821",Dresden,OUTDOOR,18000,679662
ATHENS,Nelsonville Water Park,"90 Canal St, 45764",Nelsonville,OUTDOOR,8600,650000
CUYAHOGA,Foster Pool - Main,"14526 Lake Ave, 44107",Lakewood,OUTDOOR,17905,650000
WAYNE,Ellen Shapiro Natatorium,"515 Oldman Rd, 44691",Wooster,INDOOR,12538,641200
COLUMBUS CITY,Northland Swim Club,"5006 Almont Dr., 43229",Columbus,OUTDOOR,7345,635000
COLUMBUS CITY,Northwest Swim Club,"1064 Bethel Rd, 43220",Columbus,OUTDOOR,16000,620000
CUYAHOGA,Elmwood Main Pool-Outdoor Pool,"6200 Elmwood Ave, 44131",Independence,OUTDOOR,9250,620000
CANTON CITY,Branin Natatorium,"1715 Harrison Ave NW, 44708",Canton,INDOOR,14115,614000
CUYAHOGA,Thornton Park - Main Pool,"3301 Warrensville Center Rd, 44122",Shaker Heights,OUTDOOR,15500,610000
COLUMBUS CITY,Windsor Pool,"1300 Windsor Ave., 43211",Columbus,OUTDOOR,3500,600000
FRANKLIN,Hilltop Swim Club Large Pool,2737 Valley View Dr,Columbus,OUTDOOR,20850,600000
FRANKLIN,Hilliard Family Aquatic Center Main Pool,"3850 Veterans Memorial Dr, 43026",Hilliard,OUTDOOR,16223,594000
HANCOCK,Riverside Park Pool - Recreation,"231 McManness Ave., 45840",Findlay,OUTDOOR,22275,592468
MARION,Brookside Pool,"800 Somerlot-Hoffman Rd, 43302",Marion,OUTDOOR,13662,590000
ATHENS,Athens City Pool,"701 East State St., 45701",Athens,OUTDOOR,1390,588300
WARREN,Countryside YMCA - Outside Pool,"1699 Deerfield Rd, 45036",Lebanon,OUTDOOR,15825,584117
WAYNE,Freedlander Park Pool,"400 Hillside Dr, 44691",Wooster,OUTDOOR,13975,580000
LORAIN,Avon Aquatics,"36265 Detroit Rd, 44011",Avon,OUTDOOR,10660,579600
UNION,Marysville Swimming Pool,"510 Parkway Dr., 43040",Marysville,OUTDOOR,16400,576000
CUYAHOGA,Beachwood Muni-Pool,"25125 Fairmount Blvd, 44122",Beachwood,OUTDOOR,13238,563710
COLUMBUS CITY,Rec & Phys Activity Center,"337 Annie & John Glenn, 43210",Columbus,INDOOR,4638,562736
